Ea,Ed,El,Epro,Qcre,Qhpro,Qs,Vw,Vww,X,people,ve
20071.47816,0.0,20071.47816,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
12211.50907,0.0,12645.50574,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,16.05266,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,16.05266,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,16.05266,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
12211.50907,0.0,12645.50574,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
13965.72362,0.0,13748.72529,0.0,0.0,0.0,957.0,105.83383,198.46364,957.0,957.0,957.0
20493.03359,0.0,21578.02528,0.0,0.0,0.0,812.0,96.75154,173.65568,812.0,812.0,812.0
24844.57357,0.0,26797.5586,0.0,0.0,0.0,910.0,118.18352,124.03977,910.0,910.0,910.0
24844.57357,0.0,26797.5586,0.0,0.0,0.0,945.0,115.5223,99.23182,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,111.53046,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,115.81117,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,104.03922,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,115.81117,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,139.58707,124.03977,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,1025.0,146.52901,148.84773,1025.0,1025.0,1025.0
16563.04905,0.0,17865.03907,0.0,0.0,0.0,1187.0,145.9797,173.65568,1187.0,1187.0,1187.0
16563.04905,0.0,17865.03907,0.0,0.0,0.0,991.0,122.4358,173.65568,991.0,991.0,991.0
20071.47816,0.0,20071.47816,0.0,0.0,0.0,893.0,64.15378,99.23182,893.0,893.0,893.0
22410.4309,0.0,21542.43755,0.0,0.0,0.0,1055.0,47.31981,62.01989,1055.0,1055.0,1055.0
23579.90727,0.0,22277.91725,0.0,0.0,0.0,957.0,41.70849,49.61591,957.0,957.0,957.0
22410.4309,0.0,21542.43755,0.0,0.0,0.0,1037.0,38.49795,49.61591,1037.0,1037.0,1037.0
20071.47816,0.0,20071.47816,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
12211.50907,0.0,12645.50574,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,16.05266,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,16.05266,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,16.05266,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
12211.50907,0.0,12645.50574,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
13965.72362,0.0,13748.72529,0.0,0.0,0.0,957.0,105.83383,198.46364,957.0,957.0,957.0
20493.03359,0.0,21578.02528,0.0,0.0,0.0,812.0,96.75154,173.65568,812.0,812.0,812.0
24844.57357,0.0,26797.5586,0.0,0.0,0.0,910.0,118.18352,124.03977,910.0,910.0,910.0
24844.57357,0.0,26797.5586,0.0,0.0,0.0,945.0,115.5223,99.23182,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,111.53046,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,115.81117,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,104.03922,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,115.81117,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,139.58707,124.03977,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,1025.0,146.52901,148.84773,1025.0,1025.0,1025.0
16563.04905,0.0,17865.03907,0.0,0.0,0.0,1187.0,145.9797,173.65568,1187.0,1187.0,1187.0
16563.04905,0.0,17865.03907,0.0,0.0,0.0,991.0,122.4358,173.65568,991.0,991.0,991.0
20071.47816,0.0,20071.47816,0.0,0.0,0.0,893.0,64.15378,99.23182,893.0,893.0,893.0
22410.4309,0.0,21542.43755,0.0,0.0,0.0,1055.0,47.31981,62.01989,1055.0,1055.0,1055.0
23579.90727,0.0,22277.91725,0.0,0.0,0.0,957.0,41.70849,49.61591,957.0,957.0,957.0
22410.4309,0.0,21542.43755,0.0,0.0,0.0,1037.0,38.49795,49.61591,1037.0,1037.0,1037.0
20071.47816,0.0,20071.47816,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
12211.50907,0.0,12645.50574,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,16.05266,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,16.05266,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,16.05266,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
12211.50907,0.0,12645.50574,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
13965.72362,0.0,13748.72529,0.0,0.0,0.0,957.0,105.83383,198.46364,957.0,957.0,957.0
20493.03359,0.0,21578.02528,0.0,0.0,0.0,812.0,96.75154,173.65568,812.0,812.0,812.0
24844.57357,0.0,26797.5586,0.0,0.0,0.0,910.0,118.18352,124.03977,910.0,910.0,910.0
24844.57357,0.0,26797.5586,0.0,0.0,0.0,945.0,115.5223,99.23182,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,111.53046,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,115.81117,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,104.03922,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,115.81117,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,139.58707,124.03977,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,1025.0,146.52901,148.84773,1025.0,1025.0,1025.0
16563.04905,0.0,17865.03907,0.0,0.0,0.0,1187.0,145.9797,173.65568,1187.0,1187.0,1187.0
16563.04905,0.0,17865.03907,0.0,0.0,0.0,991.0,122.4358,173.65568,991.0,991.0,991.0
20071.47816,0.0,20071.47816,0.0,0.0,0.0,893.0,64.15378,99.23182,893.0,893.0,893.0
22410.4309,0.0,21542.43755,0.0,0.0,0.0,1055.0,47.31981,62.01989,1055.0,1055.0,1055.0
23579.90727,0.0,22277.91725,0.0,0.0,0.0,957.0,41.70849,49.61591,957.0,957.0,957.0
22410.4309,0.0,21542.43755,0.0,0.0,0.0,1037.0,38.49795,49.61591,1037.0,1037.0,1037.0
20071.47816,0.0,20071.47816,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
12211.50907,0.0,12645.50574,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,32.60474,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,32.60474,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,32.60474,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,38.21606,12.40398,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,38.21606,12.40398,1118.0,1118.0,1118.0
12211.50907,0.0,12645.50574,0.0,0.0,0.0,1118.0,38.21606,12.40398,1118.0,1118.0,1118.0
13965.72362,0.0,13748.72529,0.0,0.0,0.0,957.0,122.38591,198.46364,957.0,957.0,957.0
16141.49361,0.0,16358.49195,0.0,0.0,0.0,812.0,111.16326,173.65568,812.0,812.0,812.0
19405.1486,0.0,20273.14194,0.0,0.0,0.0,910.0,99.58622,124.03977,910.0,910.0,910.0
19405.1486,0.0,20273.14194,0.0,0.0,0.0,749.0,105.75277,99.23182,749.0,749.0,749.0
17650.93404,0.0,19169.9224,0.0,0.0,0.0,749.0,93.2661,62.01989,749.0,749.0,749.0
17650.93404,0.0,19169.9224,0.0,0.0,0.0,749.0,93.2661,62.01989,749.0,749.0,749.0
17650.93404,0.0,19169.9224,0.0,0.0,0.0,749.0,80.2242,62.01989,749.0,749.0,749.0
17650.93404,0.0,19169.9224,0.0,0.0,0.0,749.0,80.2242,62.01989,749.0,749.0,749.0
17650.93404,0.0,19169.9224,0.0,0.0,0.0,749.0,106.10717,124.03977,749.0,749.0,749.0
17650.93404,0.0,19169.9224,0.0,0.0,0.0,829.0,117.32981,148.84773,829.0,829.0,829.0
17650.93404,0.0,19169.9224,0.0,0.0,0.0,991.0,128.55246,173.65568,991.0,991.0,991.0
17650.93404,0.0,19169.9224,0.0,0.0,0.0,893.0,111.16326,173.65568,893.0,893.0,893.0
15719.93818,0.0,14851.94483,0.0,0.0,0.0,893.0,77.49532,99.23182,893.0,893.0,893.0
18058.89092,0.0,16322.90422,0.0,0.0,0.0,957.0,60.66136,62.01989,957.0,957.0,957.0
19228.36729,0.0,17058.38392,0.0,0.0,0.0,957.0,55.05003,49.61591,957.0,957.0,957.0
18058.89092,0.0,16322.90422,0.0,0.0,0.0,1037.0,55.05003,49.61591,1037.0,1037.0,1037.0
15719.93818,0.0,14851.94483,0.0,0.0,0.0,1118.0,38.21606,12.40398,1118.0,1118.0,1118.0
12211.50907,0.0,12645.50574,0.0,0.0,0.0,1118.0,38.21606,12.40398,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,40.75593,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,40.75593,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,40.75593,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,46.36725,12.40398,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,46.36725,12.40398,1118.0,1118.0,1118.0
12211.50907,0.0,12645.50574,0.0,0.0,0.0,1118.0,46.36725,12.40398,1118.0,1118.0,1118.0
13965.72362,0.0,13748.72529,0.0,0.0,0.0,957.0,130.53709,198.46364,957.0,957.0,957.0
13965.72362,0.0,13748.72529,0.0,0.0,0.0,714.0,119.31445,173.65568,714.0,714.0,714.0
18317.2636,0.0,18968.25861,0.0,0.0,0.0,910.0,96.86916,124.03977,910.0,910.0,910.0
18317.2636,0.0,18968.25861,0.0,0.0,0.0,749.0,85.64651,99.23182,749.0,749.0,749.0
16563.04905,0.0,17865.03907,0.0,0.0,0.0,749.0,68.81254,62.01989,749.0,749.0,749.0
16563.04905,0.0,17865.03907,0.0,0.0,0.0,749.0,68.81254,62.01989,749.0,749.0,749.0
16563.04905,0.0,17865.03907,0.0,0.0,0.0,749.0,68.81254,62.01989,749.0,749.0,749.0
16563.04905,0.0,17865.03907,0.0,0.0,0.0,749.0,68.81254,62.01989,749.0,749.0,749.0
16563.04905,0.0,17865.03907,0.0,0.0,0.0,749.0,96.86916,124.03977,749.0,749.0,749.0
16563.04905,0.0,17865.03907,0.0,0.0,0.0,829.0,108.0918,148.84773,829.0,829.0,829.0
12211.50907,0.0,12645.50574,0.0,0.0,0.0,795.0,119.31445,173.65568,795.0,795.0,795.0
12211.50907,0.0,12645.50574,0.0,0.0,0.0,795.0,119.31445,173.65568,795.0,795.0,795.0
15719.93818,0.0,14851.94483,0.0,0.0,0.0,795.0,85.64651,99.23182,795.0,795.0,795.0
18058.89092,0.0,16322.90422,0.0,0.0,0.0,957.0,68.81254,62.01989,957.0,957.0,957.0
19228.36729,0.0,17058.38392,0.0,0.0,0.0,957.0,63.20122,49.61591,957.0,957.0,957.0
18058.89092,0.0,16322.90422,0.0,0.0,0.0,1037.0,63.20122,49.61591,1037.0,1037.0,1037.0
15719.93818,0.0,14851.94483,0.0,0.0,0.0,1118.0,46.36725,12.40398,1118.0,1118.0,1118.0
12211.50907,0.0,12645.50574,0.0,0.0,0.0,1118.0,46.36725,12.40398,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,16.05266,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,16.05266,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,16.05266,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
12211.50907,0.0,12645.50574,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
13965.72362,0.0,13748.72529,0.0,0.0,0.0,957.0,105.83383,198.46364,957.0,957.0,957.0
20493.03359,0.0,21578.02528,0.0,0.0,0.0,812.0,96.75154,173.65568,812.0,812.0,812.0
24844.57357,0.0,26797.5586,0.0,0.0,0.0,910.0,118.18352,124.03977,910.0,910.0,910.0
24844.57357,0.0,26797.5586,0.0,0.0,0.0,945.0,115.5223,99.23182,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,111.53046,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,115.81117,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,104.03922,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,115.81117,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,139.58707,124.03977,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,1025.0,146.52901,148.84773,1025.0,1025.0,1025.0
16563.04905,0.0,17865.03907,0.0,0.0,0.0,1187.0,145.9797,173.65568,1187.0,1187.0,1187.0
16563.04905,0.0,17865.03907,0.0,0.0,0.0,991.0,122.4358,173.65568,991.0,991.0,991.0
20071.47816,0.0,20071.47816,0.0,0.0,0.0,893.0,64.15378,99.23182,893.0,893.0,893.0
22410.4309,0.0,21542.43755,0.0,0.0,0.0,1055.0,47.31981,62.01989,1055.0,1055.0,1055.0
23579.90727,0.0,22277.91725,0.0,0.0,0.0,957.0,41.70849,49.61591,957.0,957.0,957.0
22410.4309,0.0,21542.43755,0.0,0.0,0.0,1037.0,38.49795,49.61591,1037.0,1037.0,1037.0
20071.47816,0.0,20071.47816,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
12211.50907,0.0,12645.50574,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,16.05266,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,16.05266,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,16.05266,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
12211.50907,0.0,12645.50574,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
13965.72362,0.0,13748.72529,0.0,0.0,0.0,957.0,105.83383,198.46364,957.0,957.0,957.0
20493.03359,0.0,21578.02528,0.0,0.0,0.0,812.0,96.75154,173.65568,812.0,812.0,812.0
24844.57357,0.0,26797.5586,0.0,0.0,0.0,910.0,118.18352,124.03977,910.0,910.0,910.0
24844.57357,0.0,26797.5586,0.0,0.0,0.0,945.0,115.5223,99.23182,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,111.53046,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,115.81117,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,104.03922,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,115.81117,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,139.58707,124.03977,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,1025.0,146.52901,148.84773,1025.0,1025.0,1025.0
16563.04905,0.0,17865.03907,0.0,0.0,0.0,1187.0,145.9797,173.65568,1187.0,1187.0,1187.0
16563.04905,0.0,17865.03907,0.0,0.0,0.0,991.0,122.4358,173.65568,991.0,991.0,991.0
20071.47816,0.0,20071.47816,0.0,0.0,0.0,893.0,64.15378,99.23182,893.0,893.0,893.0
22410.4309,0.0,21542.43755,0.0,0.0,0.0,1055.0,47.31981,62.01989,1055.0,1055.0,1055.0
23579.90727,0.0,22277.91725,0.0,0.0,0.0,957.0,41.70849,49.61591,957.0,957.0,957.0
22410.4309,0.0,21542.43755,0.0,0.0,0.0,1037.0,38.49795,49.61591,1037.0,1037.0,1037.0
20071.47816,0.0,20071.47816,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
12211.50907,0.0,12645.50574,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,16.05266,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,16.05266,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,16.05266,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
12211.50907,0.0,12645.50574,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
13965.72362,0.0,13748.72529,0.0,0.0,0.0,957.0,105.83383,198.46364,957.0,957.0,957.0
20493.03359,0.0,21578.02528,0.0,0.0,0.0,812.0,96.75154,173.65568,812.0,812.0,812.0
24844.57357,0.0,26797.5586,0.0,0.0,0.0,910.0,118.18352,124.03977,910.0,910.0,910.0
24844.57357,0.0,26797.5586,0.0,0.0,0.0,945.0,115.5223,99.23182,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,111.53046,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,115.81117,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,104.03922,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,115.81117,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,139.58707,124.03977,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,1025.0,146.52901,148.84773,1025.0,1025.0,1025.0
16563.04905,0.0,17865.03907,0.0,0.0,0.0,1187.0,145.9797,173.65568,1187.0,1187.0,1187.0
16563.04905,0.0,17865.03907,0.0,0.0,0.0,991.0,122.4358,173.65568,991.0,991.0,991.0
20071.47816,0.0,20071.47816,0.0,0.0,0.0,893.0,64.15378,99.23182,893.0,893.0,893.0
22410.4309,0.0,21542.43755,0.0,0.0,0.0,1055.0,47.31981,62.01989,1055.0,1055.0,1055.0
23579.90727,0.0,22277.91725,0.0,0.0,0.0,957.0,41.70849,49.61591,957.0,957.0,957.0
22410.4309,0.0,21542.43755,0.0,0.0,0.0,1037.0,38.49795,49.61591,1037.0,1037.0,1037.0
20071.47816,0.0,20071.47816,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
12211.50907,0.0,12645.50574,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,16.05266,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,16.05266,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,16.05266,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
12211.50907,0.0,12645.50574,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
13965.72362,0.0,13748.72529,0.0,0.0,0.0,957.0,105.83383,198.46364,957.0,957.0,957.0
20493.03359,0.0,21578.02528,0.0,0.0,0.0,812.0,96.75154,173.65568,812.0,812.0,812.0
24844.57357,0.0,26797.5586,0.0,0.0,0.0,910.0,118.18352,124.03977,910.0,910.0,910.0
24844.57357,0.0,26797.5586,0.0,0.0,0.0,945.0,115.5223,99.23182,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,111.53046,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,115.81117,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,104.03922,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,115.81117,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,139.58707,124.03977,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,1025.0,146.52901,148.84773,1025.0,1025.0,1025.0
16563.04905,0.0,17865.03907,0.0,0.0,0.0,1187.0,145.9797,173.65568,1187.0,1187.0,1187.0
16563.04905,0.0,17865.03907,0.0,0.0,0.0,991.0,122.4358,173.65568,991.0,991.0,991.0
20071.47816,0.0,20071.47816,0.0,0.0,0.0,893.0,64.15378,99.23182,893.0,893.0,893.0
22410.4309,0.0,21542.43755,0.0,0.0,0.0,1055.0,47.31981,62.01989,1055.0,1055.0,1055.0
23579.90727,0.0,22277.91725,0.0,0.0,0.0,957.0,41.70849,49.61591,957.0,957.0,957.0
22410.4309,0.0,21542.43755,0.0,0.0,0.0,1037.0,38.49795,49.61591,1037.0,1037.0,1037.0
20071.47816,0.0,20071.47816,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
12211.50907,0.0,12645.50574,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,16.05266,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,16.05266,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,16.05266,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
12211.50907,0.0,12645.50574,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
13965.72362,0.0,13748.72529,0.0,0.0,0.0,957.0,105.83383,198.46364,957.0,957.0,957.0
20493.03359,0.0,21578.02528,0.0,0.0,0.0,812.0,96.75154,173.65568,812.0,812.0,812.0
24844.57357,0.0,26797.5586,0.0,0.0,0.0,910.0,118.18352,124.03977,910.0,910.0,910.0
24844.57357,0.0,26797.5586,0.0,0.0,0.0,945.0,115.5223,99.23182,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,111.53046,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,115.81117,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,104.03922,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,115.81117,62.01989,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,945.0,139.58707,124.03977,945.0,945.0,945.0
23090.35902,0.0,25694.33906,0.0,0.0,0.0,1025.0,146.52901,148.84773,1025.0,1025.0,1025.0
16563.04905,0.0,17865.03907,0.0,0.0,0.0,1187.0,145.9797,173.65568,1187.0,1187.0,1187.0
16563.04905,0.0,17865.03907,0.0,0.0,0.0,991.0,122.4358,173.65568,991.0,991.0,991.0
20071.47816,0.0,20071.47816,0.0,0.0,0.0,893.0,64.15378,99.23182,893.0,893.0,893.0
22410.4309,0.0,21542.43755,0.0,0.0,0.0,1055.0,47.31981,62.01989,1055.0,1055.0,1055.0
23579.90727,0.0,22277.91725,0.0,0.0,0.0,957.0,41.70849,49.61591,957.0,957.0,957.0
22410.4309,0.0,21542.43755,0.0,0.0,0.0,1037.0,38.49795,49.61591,1037.0,1037.0,1037.0
20071.47816,0.0,20071.47816,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
12211.50907,0.0,12645.50574,0.0,0.0,0.0,1118.0,21.66399,12.40398,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,32.60474,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,32.60474,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,32.60474,0.0,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,38.21606,12.40398,1118.0,1118.0,1118.0
9872.55633,0.0,11174.54635,0.0,0.0,0.0,1118.0,38.21606,12.40398,1118.0,1118.0,1118.0
12211.50907,0.0,12645.50574,0.0,0.0,0.0,1118.0,38.21606,12.40398,1118.0,1118.0,1118.0
13965.72362,0.0,13748.72529,0.0,0.0,0.0,957.0,122.38591,198.46364,957.0,957.0,957.0
16141.49361,0.0,16358.49195,0.0,0.0,0.0,812.0,111.16326,173.65568,812.0,812.0,812.0
